points_share,VORP,PER,FG,2P,DWS,USG%,WS/48,WS,PTS,FTA
0.0,0.4,17.3,6.1,5.3,1.2,27.6,0.048,1.5,14.5,1.8
0.0,0.2,13.3,2.6,1.9,1.0,17.6,0.069,1.9,6.9,1.4
0.0,-0.1,6.0,0.2,0.2,0.1,16.8,-0.013,0.0,0.6,0.3
0.644,6.1,24.7,9.5,8.3,4.5,34.1,0.166,10.1,25.4,7.1
0.0,-0.1,11.6,2.1,1.2,0.3,24.9,0.008,0.1,6.3,1.4
0.0,1.1,11.3,3.1,1.4,2.9,16.6,0.078,2.9,8.6,0.9
0.0,0.3,14.5,5.5,4.7,1.9,24.7,0.027,0.9,13.4,2.2
0.0,-1.2,9.8,4.1,3.0,1.1,18.5,0.025,1.2,11.0,2.0
0.0,-0.5,9.7,2.8,1.8,0.7,19.0,0.023,0.5,7.5,1.1
0.0,-0.4,11.5,3.2,3.0,0.1,25.4,-0.018,-0.2,8.4,1.8
0.012,2.8,24.5,6.0,6.0,4.1,19.4,0.242,10.2,13.9,3.5
0.0,0.2,14.0,3.5,2.1,0.4,19.3,0.063,0.8,8.8,0.6
0.0,1.0,15.8,7.0,5.4,1.9,25.2,0.07,3.8,18.9,4.1
0.0,0.0,9.1,0.8,0.4,0.0,23.0,-0.006,0.0,2.4,0.4
0.0,-0.2,11.8,3.3,1.9,0.2,22.6,0.023,0.3,9.3,1.7
0.0,1.0,16.2,3.0,2.6,1.9,16.0,0.156,5.4,8.4,3.0
0.0,2.1,16.7,4.5,2.7,2.2,20.5,0.121,4.8,12.0,1.4
0.0,0.6,11.4,4.5,2.1,1.6,17.6,0.059,2.6,12.7,1.6
0.0,0.6,26.0,5.8,4.6,0.5,30.6,0.196,0.9,16.2,4.2
0.0,0.0,16.6,2.4,2.4,0.5,17.7,0.109,1.2,5.6,1.0
0.0,0.1,12.8,3.7,2.3,0.4,17.5,0.101,1.6,9.5,0.8
0.0,0.3,12.1,5.2,3.6,1.6,16.1,0.081,4.4,12.5,0.8
0.0,-0.1,15.4,2.0,1.8,0.2,23.0,0.081,0.7,5.0,1.2
0.0,-0.8,4.6,0.9,0.3,1.3,9.0,0.048,1.2,2.7,0.6
0.0,0.1,12.4,3.7,2.9,2.0,21.6,0.046,1.8,9.2,1.5
0.0,0.0,12.4,2.4,1.8,0.1,16.2,0.066,0.6,6.6,1.3
0.0,1.6,24.1,5.8,5.7,3.0,24.7,0.187,5.3,14.0,3.4
0.0,0.6,17.4,2.8,2.7,1.3,16.6,0.183,2.8,6.5,1.2
0.0,1.7,15.8,4.2,3.5,2.8,19.1,0.123,5.0,10.8,2.2
0.0,0.0,-4.6,0.0,0.0,0.0,8.7,-0.18,0.0,0.0,0.0
0.0,-0.1,5.9,0.6,0.4,0.0,21.6,-0.031,0.0,1.9,1.1
0.0,0.7,11.2,2.3,1.8,1.6,11.5,0.094,3.2,6.0,1.4
0.0,1.3,12.0,3.3,1.5,3.2,14.8,0.097,4.2,9.3,1.2
0.0,0.6,13.2,2.1,1.3,1.6,15.6,0.144,3.4,5.8,0.8
0.0,0.6,15.7,2.5,2.5,1.9,15.9,0.148,4.2,6.9,2.6
0.0,0.0,12.3,0.8,0.4,0.3,15.7,0.122,0.6,2.4,0.7
0.0,-0.1,6.4,0.6,0.5,0.0,9.4,0.029,0.1,1.5,0.4
0.0,0.0,15.6,0.7,0.7,0.1,17.2,0.072,0.1,1.7,0.6
0.0,0.1,10.3,1.6,1.0,1.1,15.5,0.087,1.4,4.3,0.7
0.0,1.0,13.3,3.9,2.0,0.9,16.6,0.097,4.0,10.8,1.3
0.0,1.3,13.9,2.8,0.8,1.5,14.8,0.146,5.3,8.9,1.7
0.0,0.9,12.5,2.8,2.4,2.5,13.8,0.108,3.8,6.3,0.5
0.0,0.0,8.2,0.2,0.0,0.0,6.4,0.094,0.1,0.8,0.4
0.0,-0.6,7.5,1.7,1.2,1.3,15.4,0.03,0.6,4.4,0.6
0.0,0.3,14.3,5.1,3.8,0.7,19.1,0.091,2.7,13.0,1.8
0.0,0.6,14.4,2.7,1.5,0.9,15.7,0.109,2.4,7.6,1.2
0.0,-0.2,5.8,1.7,0.5,0.1,17.3,-0.034,-0.1,4.6,0.3
0.0,1.3,16.5,5.0,3.5,1.9,23.5,0.105,3.8,13.0,2.1
0.0,-0.1,13.0,2.8,2.2,0.6,22.6,0.027,0.5,7.9,2.2
0.0,0.5,12.1,2.8,1.7,1.4,17.2,0.084,2.6,7.6,1.0
0.002,1.5,11.8,4.0,1.5,2.8,14.4,0.113,5.3,11.7,1.3
0.0,-0.1,6.8,0.7,0.7,0.1,13.9,0.031,0.1,1.7,0.3
0.0,-0.7,10.9,2.4,2.1,0.5,20.1,0.027,0.6,6.6,2.1
0.0,0.0,12.7,6.1,3.9,2.5,23.2,0.071,3.7,16.2,2.5
0.0,0.1,13.9,3.4,2.7,0.3,25.1,0.017,0.2,9.3,2.3
0.0,1.9,22.5,5.1,4.7,3.0,22.7,0.21,7.6,12.7,2.7
0.0,0.9,13.0,4.3,2.6,2.3,18.6,0.097,4.2,11.7,1.8
0.0,0.1,13.9,2.0,1.8,0.4,12.5,0.114,0.8,4.7,0.7
0.0,1.4,14.5,3.1,2.8,2.5,15.7,0.133,4.7,7.3,1.1
0.0,1.4,16.4,5.1,3.9,1.4,20.6,0.101,4.9,14.2,3.4
